"","SES_qblv","SES_mblv","SES_wblv","SES_tl_0","SES_tl_1","SES_tl_2","SES_nest0","SES_nest1","SES_nest2","SES_it","SES_wingl","SES_headw","SES_eyel","SES_thairl","SES_setael","SES_tibial","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne","SES_pbsor","SES_pbsim","SES_pbsne"
"AT",-0.149076411224373,-0.213881345177883,1.8861492389758,1.11515667745839,-0.378866487049074,-0.709732292563546,0.301405072796234,-1.04139728628912,0.266979324080472,-1.04628932136113,-0.726052897489402,0.833295260769868,1.2090539674981,-0.45548565279649,0.551155950343915,-0.167688317679308,-10.2778154743699,-9.89298073904502,6.83156376339852,-3.71048271716241,-2.17090889420284,-0.313962630842563,-5.42117836376353,-5.21655569747384,2.8865523711935
"BST",-0.176444514904097,-0.531229045318423,-0.449423946815136,0.243663742374737,0.0553631212133647,-0.288314763187525,-0.423193380792961,-0.91408961515292,0.898788798345095,-1.27295419500622,-1.55640925718547,0.283088181415184,0.894402488910557,-0.746171520113038,0.192071562942984,-0.284402672022539,-9.05006075272668,-8.96066133965621,6.59605977533877,-3.90160566569935,-2.50799875944582,-1.48980787603047,-4.48764161647521,-4.92908879574304,3.24079212717877
"CA",0.581358673071008,-0.00102372465556596,0.167980319715724,0.163624712182662,-0.0219004665260212,-0.134393456114399,0.976896339473082,-0.549703923825653,-0.675691007038808,-0.383763966104232,-0.643740489128141,0.333591214106216,1.43542038695058,-0.700450051656229,0.183716000536528,-0.95311015837718,-8.72407890551364,-8.62348485808249,7.83479171225983,-3.83354643496014,-2.31437168172072,-1.38266048351956,-4.85236442420354,-5.12547470193523,1.55122593362571
"CE",-0.561806184061335,-0.0992529280319623,1.00438891892886,0.268906092787158,0.057301663910674,-0.317430655254518,-0.420310056430079,-0.879572360532707,0.885721453268321,-1.03747712179952,-1.54743033829046,0.0473854386472096,0.913676681204403,-0.60356261561817,0.207933765208146,-0.843527011220621,-11.1502236772868,-10.9870524663293,7.69153996369982,-4.14419685891053,-2.46267380122344,-1.44515834255342,-6.43308561827397,-6.79474359683134,3.81880052923393
"CH",-0.554911128338244,-0.102510618117402,1.05456357761457,0.197212086008818,0.0564826074840995,-0.239377598401228,-0.406011371947221,-0.976746778393849,0.900703529700164,-1.06165738897808,-1.56779970818799,0.0200290166819426,0.963985131641821,-0.662654617509953,0.312459898164334,-0.856167334796688,-10.9242720408791,-10.7175049718304,7.32019128266087,-4.1378498982413,-2.48683364140118,-1.45704255119955,-6.27297812018408,-6.7785691860646,3.77303157052716
"CM",0.186451460532502,0.875953551323627,0.882364959438285,1.05100377639336,-0.327730410965218,-0.681846396415254,1.38518344736476,-1.08848906325509,-0.759568481994351,-0.202177668723768,-0.31568143258407,-0.0385967633943941,1.05691379643196,-0.758006899703022,1.33597469608176,-0.406970676137158,-8.87227732122403,-8.66043005072818,6.17928000869513,-3.59800273719107,-2.20094989684087,-0.306825597348738,-3.90896019259279,-3.90049528086883,2.36675432409349
"CG",0.13038635690595,0.784028544025281,1.38723271415537,0.74484107333545,-0.699941224508945,-0.0460320346904354,1.03023823677395,-1.21297074602151,-0.332742134101202,-0.246822161363565,-0.455718163777349,-0.159188766309382,0.845829202886439,-0.900697660392427,1.24560096713842,-0.540436528276483,-9.37789526631744,-8.92475788024263,6.4234287487318,-4.56936692138921,-1.78668951490423,-0.679427859972735,-4.85035647774287,-4.68404020850183,2.97371745029226
"EP",0.918639645694447,-0.0940728204086628,0.774813763919863,-0.205453706001661,0.813327161625155,-0.565363250198755,0.441759466339181,-0.642338932097699,-0.0887981293667031,-0.391060833951019,-0.47942501260624,0.382889619497697,1.38278558292872,-0.597591365344845,0.623820751183796,-0.182350750152197,-10.7055726372676,-10.5834106494542,8.76337587331506,-3.05666419389687,-2.66204491160751,-0.959814978472091,-5.55013378853928,-6.9574230455871,2.42639857730576
"HW",1.03835069233504,0.666380622442416,0.706986177907516,-1.00396274097693,0.175646427427538,0.765909911977123,0.760063777256762,-1.00652758292783,-0.195346833522077,0.291999349205226,-0.269597080471063,-0.658627991979849,0.766914394250401,-1.02642275466749,1.27294335150327,-0.490663127994667,-9.37604611974681,-9.26403854533449,6.54815985991641,-3.43626359437857,-2.19164303897212,-1.24811468327212,-4.59696365751312,-5.38777874524032,4.25867799759139
"LP",-0.494217270453029,0.0335515656978211,0.465655380315768,0.618989545703064,0.395158388513593,-0.92052910442344,0.00577744916921072,-0.76001333824002,0.404483545436989,-0.96908983914417,-1.50535927549676,0.141248156314594,1.16748172592028,-0.548455918394792,0.323473213174398,-0.816524412950791,-11.3263127611164,-11.236852867018,8.69279482071981,-3.53094254618114,-2.77896877075113,-1.21220702195626,-6.1029787653761,-7.85181137810489,3.27991081010267
