"","qbl_var","mbl_var","wbl_var","tl","nestl","it","rwingl","rheadw","reyel","thairl","bsetael","rbtl"
"n1",0.930667836339389,0.913831017630887,0.416182918951842,NA,NA,0.501854987943314,0.856542882543748,0.467322901321792,0.51384614953242,0.906906822333834,0.476352340953682,0.668405999596089
"n2",0.6512894447367,0.434006194227544,0.420377482372534,NA,NA,0.949923029167651,0.585654659336119,0.618841087985028,0.952221820944808,0.652431831305159,1.79903828985917,1.07795549320248
"n3",0.727464006675431,0.762126328580943,0.444937041427188,NA,NA,0.789650411218975,0.702565927186592,1.18000613989577,0.888593234058719,0.926736127627269,0.709213829798313,0.922571865002222
"n4",0.661325279615188,0.612360493323682,0.413043973312737,NA,NA,0.778116247873432,0.355272158552323,0.728691302162362,0.76267414000819,0.905259279204152,0.8432705006302,0.672687505599266
"n5",0.401714710605871,0.419258074195256,0.781046226240018,NA,NA,0.458350788011836,0.689599987528201,0.376338747344119,0.49618551927373,0.388916038821586,0.849126540324665,0.528748608166884
"n6",0.414311929691737,0.70394536574666,0.50240329795507,NA,NA,0.455322832563487,0.436626699158533,0.807882035378838,0.659178684016424,0.718286599304457,0.64042316774113,0.668496723396708
"n7",0.472671775621698,0.682583832266178,0.725731954274698,NA,NA,0.339368863657192,0.463724389104052,0.396204778238439,0.514006581203168,0.590638164525232,0.457998431533005,0.544586345618184
"n8",0.580452257017358,0.362342492776929,0.753879895443033,NA,NA,0.854591484117183,0.782229586157184,0.916495191099763,1.26717590316244,0.596239153175661,0.662439792031274,0.871417165758342
"n9",0.766298860495672,0.480594925729622,0.935038141377704,NA,NA,0.621287764774015,0.880009918059678,0.468494451905844,0.770027050442892,0.626890159584605,0.75056541302692,0.533688759614651
"n10",0.580596548413878,0.670308758458398,0.763752793658715,NA,NA,0.435217791765148,0.634804477071993,0.600873967213801,0.6936507799059,0.864027965769246,0.428162286481781,0.533501079534937
"n11",0.479352403073683,0.61752999290333,0.562127699292636,NA,NA,1.07673284725569,0.483995820052334,0.779933545498286,0.758849993577397,0.402103122234196,0.303805947651181,0.622332981476421
"n12",0.899164427134373,0.675363765071619,0.686958465358844,NA,NA,0.497259899989489,0.897146776700124,0.525081117959504,0.345420292349179,1.06531410812859,0.395085656123548,0.706609706969984
"n13",0.531952375627649,0.63086929180833,0.745323536898774,NA,NA,0.747030340855545,0.535166420554159,0.511572235163403,0.664494187271618,0.847508427629873,0.796564739815329,0.726386240108088
"n14",0.558536253849845,0.546017972998985,0.70159032525376,NA,NA,0.770071481251073,0.480309461411025,0.701620116979071,0.843729963412464,0.471948967820225,1.06784980832225,0.531774608189176
"n15",0.425475431471526,0.466757997012276,0.588896885753115,NA,NA,0.548662813662749,1.04922801239591,0.901514522861727,0.858536223371246,0.637641017338097,0.944274088981301,0.905505671248281
"n16",1.12496714435468,0.687110430208918,0.381085752182221,NA,NA,0.78071391606139,0.75438184488662,0.790254473859296,0.503100268643817,0.497941937826777,0.58812133926206,1.45739820572204
"n17",0.486611982998993,0.36411837256835,0.590057475038328,NA,NA,0.721346692542473,1.06410423722979,0.753741203157894,0.484545963332311,0.284481893213522,0.516551414545765,0.531524285172146
"n18",0.625827912943331,0.591738530926442,0.638131678141655,NA,NA,0.453232097754853,0.503672029912592,0.401471649895183,0.57168162814496,0.455817884860873,0.777996567734534,0.472737826809034
"n19",0.79629022023654,0.48899565454682,0.47938807729605,NA,NA,0.745245057935115,0.620501907251151,0.58048485920217,1.02250376483654,0.795802147385281,0.660153273938903,0.401532830288015
"n20",0.438337943519619,0.686385695162818,0.566952255342576,NA,NA,0.527576304540831,0.559482563352228,0.663278723998166,0.567021068760399,0.859709606231031,0.545036753951616,0.58510272562461
"n21",0.354622173284697,0.812019806573249,0.397956339905628,NA,NA,0.678488812866919,0.304031665475063,0.559954312031104,0.693735888702137,0.738185807106824,0.755703633467621,0.507877915548302
"n22",0.551116680299376,0.518843960054247,0.502530202738593,NA,NA,0.72658063451177,0.484995753719565,0.752947915373595,0.847371095870146,0.794821765281365,0.673478320219177,0.667605044112296
"n23",0.526608738972198,0.507019833856542,0.531782934783994,NA,NA,0.907246304586025,0.429441174582089,0.549245324907743,0.86985216187591,0.470661819838039,0.852653529629125,0.364064352278988
"n24",1.50450686728319,0.677330582734513,0.742310457096319,NA,NA,0.345765363732781,1.3743045045117,0.418055448290841,0.234375534141778,0.658227619505305,0.373221817698581,0.603326063262255
"n25",0.550690305954375,0.485503272630016,0.643507783345377,NA,NA,0.457741070504186,0.551840346920204,0.626878205214203,0.316893327449183,0.689297075419922,0.447672280390305,0.644191474094454
"n26",0.436735839024813,1.21338195274044,0.476485886691566,NA,NA,0.579285450464109,0.445796549866446,0.809884622627852,0.692589596187424,1.19477634818191,0.79784997887867,0.4803883885534
"n27",0.404099802770372,0.511574357569846,0.83543666884538,NA,NA,1.05034704666237,0.497937557416279,0.723292842689122,0.69688974967068,0.774465241677434,0.948453418872154,0.568356525333636
"n28",0.410022360232434,0.624217247696698,0.605466161137107,NA,NA,1.18464352192947,0.617660197681253,1.09405059034733,0.829096362519142,0.69856415543077,0.723445732159787,0.617043005021015
"n29",0.444145123742796,0.588902334522515,0.788267799001099,NA,NA,0.543548747156762,0.35037665102918,0.332301614979706,0.399623349792154,0.513106008153373,0.557562846704986,0.391986417154454
"n30",0.622323009465373,0.484870001687136,0.521754097249659,NA,NA,0.92761155535754,0.700427341673939,0.685995312428585,1.22711247009833,0.606380369474028,1.20449858135034,0.537473002568693
"n31",0.672709922515675,0.66596002923151,0.523954162228953,NA,NA,0.464955344218681,1.09162942146672,0.370990495175084,0.501268178753795,0.586089734627837,0.89996308911234,0.606972784336161
"n32",1.10657365657579,0.488934732780695,0.390086817550107,NA,NA,0.793777055334086,0.792760395075677,0.634333403554399,0.614421809796689,0.618700255504757,0.926606698641785,1.29424367499398
"n33",0.765639162741136,0.467919612450192,0.376102988941011,NA,NA,0.619977955762104,0.794845116385757,0.369939516631619,0.58164814852139,0.548156755987117,0.712857162226645,0.78740930693638
"n34",0.928283299534326,0.683852443707774,0.513981685285341,NA,NA,0.539024697790909,0.70909428098199,0.746078515605196,0.570630091224916,0.684226865934808,0.398914491899447,0.724771243284561
"n35",0.374629209851737,0.499203814538009,0.515091312126224,NA,NA,0.87982212556338,0.459692207641463,0.920608399668821,1.77485910143774,1.18218247220439,0.830601769146177,0.512981492894499
"n36",1.05973770902138,0.584242225974885,0.67842884145362,NA,NA,0.667968804190561,0.706348527230355,0.506538928765719,0.489744260191146,0.555974955414488,0.63974262113915,0.84055127288519
"n37",0.538243382325413,0.659625866240531,0.596463878078909,NA,NA,0.72825460854262,0.40877852580649,0.65409948729489,0.531500366233179,0.444133952328747,0.976409575735094,0.636861497870072
"n38",0.543460287138194,0.643658799215793,0.614974690904791,NA,NA,0.614744749179415,0.56780166783364,0.895258578719159,0.57170854891854,0.769739181008188,0.433671284835569,0.759657440693129
"n39",0.908522047097835,0.464822532380117,0.350151696745447,NA,NA,0.636908697247411,0.649399129679283,0.566745843219073,0.530370491479452,0.365587231866938,0.641837759957644,0.738108145791611
"n40",0.387610928614567,0.84393184208267,0.55404904857643,NA,NA,0.39959226839832,0.593141511979834,0.821003215205593,0.538598002390428,0.841429006552034,0.43553174187919,0.620257612039706
"n41",0.546665189531093,0.3423035752326,0.427088507699877,NA,NA,0.749035209892373,0.719226618342009,1.10382167008117,0.88149034162979,0.359857794039204,0.403876718206946,0.727879031034355
"n42",0.534865861609442,0.723820530292251,0.888571722839894,NA,NA,0.87716260180937,0.748746856159037,0.898677284135024,0.901177500009583,0.503878320139288,0.737163751895081,0.493266431961875
"n43",0.317149820683372,0.526624236766236,0.781660676557126,NA,NA,0.568462142822624,0.537593372897456,0.682901701957817,0.549434898526266,0.592717372705047,0.631636195608839,0.817206253165402
"n44",0.745770993674631,0.653115381488846,0.599865801731669,NA,NA,0.365604391522626,0.661733682230251,0.456714160290727,0.39941421614558,0.659117352032252,0.399662273110166,0.451775218819032
"n45",0.580926092589,0.660623548373774,0.850920508653642,NA,NA,0.606005295425724,0.427257930125356,0.48260591579616,0.514762284992784,0.455847361013278,0.628989666420659,0.550463882935692
"n46",0.79887655987925,0.790769169130472,0.840185171093384,NA,NA,0.585823974336562,0.793286573671568,0.847018752901524,0.762748698123251,0.744688586828044,0.522722000130896,0.536000642145158
"n47",1.7791155274633,0.605217871068224,0.706328677298329,NA,NA,0.52087608966291,0.919519860486971,0.296703181284261,0.282726771212925,0.436194904280091,0.45851924956649,0.433668572586981
