,bope,botr,boim,bobi,bova,boaf,bogr,boru,bopn,bofe,boci,bobo,boau
AT,0,0,16,5,22,1,3,3,0,9,0,0,0
BST,0,0,9,6,13,0,6,6,0,0,0,3,0
CA,0,0,8,0,1,0,1,0,0,0,0,0,0
CE,0,0,39,7,38,0,4,22,0,1,0,0,0
CH,0,0,33,16,18,0,9,6,0,2,0,0,0
CM,0,0,39,2,6,1,6,2,0,0,0,0,2
CG,0,0,67,15,5,1,8,13,0,3,0,0,5
EP,0,0,40,3,9,0,7,0,0,0,0,0,0
HW,0,0,13,1,12,0,1,0,0,3,0,0,8
LP,0,0,26,7,13,0,4,4,0,0,0,0,0
MR,0,0,57,5,10,1,23,9,0,0,0,3,2
MAP,0,0,18,22,7,0,3,5,0,0,0,0,0
NS,0,0,137,8,18,0,13,6,0,3,0,0,1
PB,0,0,31,1,8,0,0,0,0,1,0,0,0
SC,0,0,25,11,6,9,3,0,0,0,0,0,0
SPR,0,0,13,10,21,0,1,0,0,2,0,0,0
SYP,0,0,137,11,6,0,5,5,0,0,0,0,0
WIS,0,0,108,19,5,0,1,2,0,7,0,0,0
WW,0,0,14,8,21,0,7,4,0,1,0,1,6
WI,0,0,6,1,8,0,0,12,0,0,0,0,0
