,qbl_avg,qbl_var,mbl_avg,mbl_var,wbl_avg,wbl_var,tl,lecty,nestl,nestc,soc,activ,para,pollen,it,rwingmc,rwingw,rwingl,rheadw,reyew,reyel,rscapel,thairl,bsetael,rbtl,rbtw,wt
bope,19,2,13.5,1,12.5,3,1,0,2,0,0,0,0,0,3.57,0.843137255,1.24929972,3.145658263,1.028011204,0.268907563,0.697478992,0.490196078,1.82,1.53,1.112044818,0.37254902,49.56
botr,18,2,12,4,11,4,1,0,0,0,0,0,0,0,3.15,0.771428571,1.180952381,3.044444444,1.063492063,0.26984127,0.707936508,0.511111111,1.38,1.21,1.117460317,0.380952381,46.93
boim,22,2,13,2,11.5,5,1,0,0,0,0,1,0,0,3.85,0.761038961,1.155844156,3.005194805,1.015584416,0.277922078,0.698701299,0.485714286,1.17,1.32,1.051948052,0.381818182,69.12
bobi,17,4,13.5,3,13,6,1,0,2,0,0,1,0,0,3.67,0.817438692,1.302452316,3.267029973,1.04359673,0.272479564,0.702997275,0.504087193,1.39,1.44,1.185286104,0.389645777,68.85
bova,19,4,12.5,3,12.5,3,2,0,2,0,0,0,0,0,3.06,0.85620915,1.287581699,3.418300654,1.120915033,0.307189542,0.790849673,0.549019608,1.67,1.34,1.166666667,0.401960784,51.18
boaf,21,4,15.5,3,12.5,7,0,0,0,0,0,0,0,0,3.67,0.962121212,1.445454545,3.536931818,1.109090909,0.274242424,0.718181818,0.548484848,1.43,1.38,1.187878788,0.403030303,
bogr,20.5,5,15,6,13,6,0,0,0,0,0,0,0,0,4.19,0.780429594,1.257756563,3.069212411,0.980906921,0.276849642,0.680190931,0.470167064,1.14,1.22,1.021479714,0.355608592,80.81
boru,17.5,1,13,4,11,4,0,0,2,0,0,0,0,0,3.23,0.705882353,1.117647059,2.845201238,1.00619195,0.247678019,0.678018576,0.486068111,1.38,1.18,1.037151703,0.349845201,35.89
bopn,24,4,18,6,16,6,2,0,2,0,0,1,0,0,4.16,0.913461538,1.461538462,3.574519231,1.050480769,0.288461538,0.721153846,0.480769231,1.21,1.23,1.15625,0.411057692,106.41
bofe,19.5,3,14.5,3,14,6,2,0,2,0,0,0,0,0,3.69,0.788617886,1.222222222,3.195121951,1.021680217,0.262872629,0.674796748,0.466124661,1.33,1.23,1.10298103,0.379403794,75.57
boci,20,4,14,4,20,4,0,1,1,1,1,0,1,1,5.14,0.858333333,1.383333333,3.346354167,0.976388889,0.251388889,0.591666667,0.447222222,1.5,0.77,1.036111111,0.294444444,
bobo,17,4,15,2,14,2,2,0,2,0,0,0,0,0,3.48,0.801724138,1.229885057,3.224137931,1.043103448,0.25862069,0.666666667,0.5,1.28,1.21,1.16954023,0.393678161,71.99
boau,24,4,17,8,17.5,3,2,0,0,0,0,0,0,0,4.8,0.833333333,1.410416667,3.360416667,0.935416667,0.2625,0.65625,0.44375,1.24,1.54,1.072916667,0.354166667,131.95
